"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1971-Q4","Q4-1971","IDX","Index","0","Units","2010_100","2010=100",30.40936164426,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1972-Q1","Q1-1972","IDX","Index","0","Units","2010_100","2010=100",30.087754900332,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1972-Q2","Q2-1972","IDX","Index","0","Units","2010_100","2010=100",30.7362957884798,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1972-Q3","Q3-1972","IDX","Index","0","Units","2010_100","2010=100",30.5747914427932,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1972-Q4","Q4-1972","IDX","Index","0","Units","2010_100","2010=100",30.8927531233637,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1973-Q1","Q1-1973","IDX","Index","0","Units","2010_100","2010=100",31.6831710929652,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1973-Q2","Q2-1973","IDX","Index","0","Units","2010_100","2010=100",31.7437352225977,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1973-Q3","Q3-1973","IDX","Index","0","Units","2010_100","2010=100",32.0580518398107,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1973-Q4","Q4-1973","IDX","Index","0","Units","2010_100","2010=100",32.8686578526231,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1974-Q1","Q1-1974","IDX","Index","0","Units","2010_100","2010=100",32.8759479793381,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1974-Q2","Q2-1974","IDX","Index","0","Units","2010_100","2010=100",32.217873848563,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1974-Q3","Q3-1974","IDX","Index","0","Units","2010_100","2010=100",32.6070544593495,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1974-Q4","Q4-1974","IDX","Index","0","Units","2010_100","2010=100",32.6356541872315,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1975-Q1","Q1-1975","IDX","Index","0","Units","2010_100","2010=100",32.7590255624087,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1975-Q2","Q2-1975","IDX","Index","0","Units","2010_100","2010=100",33.7734747337527,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1975-Q3","Q3-1975","IDX","Index","0","Units","2010_100","2010=100",33.3932665866155,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1975-Q4","Q4-1975","IDX","Index","0","Units","2010_100","2010=100",32.9143613393365,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1976-Q1","Q1-1976","IDX","Index","0","Units","2010_100","2010=100",34.3491143547502,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1976-Q2","Q2-1976","IDX","Index","0","Units","2010_100","2010=100",34.5280028487572,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1976-Q3","Q3-1976","IDX","Index","0","Units","2010_100","2010=100",34.7593241772146,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1976-Q4","Q4-1976","IDX","Index","0","Units","2010_100","2010=100",35.0570978145742,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1977-Q1","Q1-1977","IDX","Index","0","Units","2010_100","2010=100",34.8692368569179,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1977-Q2","Q2-1977","IDX","Index","0","Units","2010_100","2010=100",35.362722357627,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1977-Q3","Q3-1977","IDX","Index","0","Units","2010_100","2010=100",35.2034611278527,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1977-Q4","Q4-1977","IDX","Index","0","Units","2010_100","2010=100",35.0893426058137,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1978-Q1","Q1-1978","IDX","Index","0","Units","2010_100","2010=100",35.3397304195258,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1978-Q2","Q2-1978","IDX","Index","0","Units","2010_100","2010=100",35.6717115745482,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1978-Q3","Q3-1978","IDX","Index","0","Units","2010_100","2010=100",36.1663186332134,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1978-Q4","Q4-1978","IDX","Index","0","Units","2010_100","2010=100",36.4657746075073,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1979-Q1","Q1-1979","IDX","Index","0","Units","2010_100","2010=100",37.4962059797264,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1979-Q2","Q2-1979","IDX","Index","0","Units","2010_100","2010=100",36.8894431254456,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1979-Q3","Q3-1979","IDX","Index","0","Units","2010_100","2010=100",37.2281536282049,,
"AUS","Australia","LORSGPOR","Leading Indicators OECD > Reference series > Gross Domestic Product (GDP) > Original series","IXOBSA","Index 2010=100, s.a.","Q","Quarterly","1979-Q4","Q4-1979","IDX","Index","0","Units","2010_100","2010=100",37.9425860462769,,
